id,title,issn,descrip,thumbnail,thumbnail_extension
1026,"X-Force Vol. I: New Beginnings (Trade Paperback)",0,"Adored by humans, reviled by their fellow mutants, X-Force does the dirty jobs that others can't, or won't. All they want in return is fame, money, sex, power and lucrative endorsement deals.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10260,"Marvel Spotlight (1979) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10262,"Marvel Spotlight (1979) #5",5,,http://i.annihil.us/u/prod/marvel/i/mg/c/30/4bc35ee8cc081,"jpg"
10264,"Marvel Spotlight (1979) #7",7,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10266,"Marvel Spotlight (1979) #9",9,,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c363c7d0fa33,"jpg"
10268,"Marvel Super-Heroes (1967) #378",378,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10269,"Marvel Super-Heroes (1967) #379",379,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1027,"X-Force Vol. II: Final Chapter (Trade Paperback)",0,"Break out the Kleenex' and the body bags' as the X-Force embarks on its most hazardous mission yet.  Whose swan song will it be: The Orphan's?  The Anarchist's?  U-Go Girl's?  Or maybe even Doop's?",http://i.annihil.us/u/prod/marvel/i/mg/d/10/4bc66bdd9d947,"jpg"
10271,"Marvel Super-Heroes (1967) #381",381,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10274,"Marvel Super-Heroes (1967) #384",384,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10276,"Marvel Super-Heroes (1967) #386",386,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1029,"X-Men Legends Vol. I: Mutant Gensis (Trade Paperback)",0,"The world is once again threatened by the mutant terrorist Magneto and only the X-Men united can stop him. And should they survive this confrontation, waiting in the wings is the villainous Omega Red.",http://i.annihil.us/u/prod/marvel/i/mg/f/80/4bc66bd88cfb1,"jpg"
1030,"X-Men Legends Vol. II: The Dark Pheonix Saga (Trade Paperback)",0,"One of the X-Men, Jean Grey, has unwittingly attained power beyond imagination.  As the Dark Phoenix, she is capable of incinerating a world with a shrug, or destroying a galaxy with a smile. Can her teammates crush Jean's alter ego without killing her?",http://i.annihil.us/u/prod/marvel/i/mg/9/c0/4bc66bd4976b4,"jpg"
1031,"X-Men: Evolution (Trade Paperback)",0,"Based on the popular TV program, this volume collects a series of stories that reveal the events before the show's first episode featuring Storm, Wolverine, Cyclops, Jean Grey and Professor Xavier.",http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4bc66bd0249aa,"jpg"
10310,"Namor (2003) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/c/20/56abbc91bc438,"jpg"
10314,"Namor (2003) #2",2,,http://i.annihil.us/u/prod/marvel/i/mg/b/a0/56abbe3140ee2,"jpg"
10315,"Namor (2003) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/2/60/56abbfc8e6f0c,"jpg"
10316,"Namor (2003) #4",4,,http://i.annihil.us/u/prod/marvel/i/mg/e/a0/56abc0a62ca8c,"jpg"
1032,"X-Men: Mutant Massacre (Trade Paperback)",0,"The vicious Marauders have been employed to wipe out the underground mutant community known as the Morlocks, whose only hope of salvation rests in the hands of the X-Men.",http://i.annihil.us/u/prod/marvel/i/mg/f/40/4bc66bcb639da,"jpg"
10322,"New Mutants (2003) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/6/70/5a032f394cb79,"jpg"
10327,"New Mutants (2003) #2",2,,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/5a03319b5c228,"jpg"
10328,"New Mutants (2003) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5a0332cace17d,"jpg"
10337,"New Mutants Annual (1984) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/c/30/4bc33555a8bde,"jpg"
10340,"New Mutants Annual (1984) #6",6,,http://i.annihil.us/u/prod/marvel/i/mg/d/c0/5661d53518555,"jpg"
1035,"Avengers/Defenders War (Trade Paperback)",0,"The Avengers and Defenders find themselves the pawns in an intergalactic game of chess when the trickster god Loki enlists the aid of the dreaded Dormammu.",http://i.annihil.us/u/prod/marvel/i/mg/1/60/4bc66bc1bae0b,"jpg"
10354,"New Mutants (1983) #19",19,,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4bb5b5b119c4f,"jpg"
10356,"New Mutants (1983) #20",20,,http://i.annihil.us/u/prod/marvel/i/mg/b/60/4bb5b5ac0153d,"jpg"
